date,_id,date,code,close,vol,amount,delta,insert_time,ma5,ma20,ma60,macd,signal,rsi,volatility,vol_change,target_1,target_2,target_3,target_4,target_5
2016-12-15,68505d6d34a7c6e6d373adb3,2016-12-15,510500,5.548,160424,105029275.0,0.63,2025-06-17 02:07:41.174,5.5822,5.77665,5.74035,-0.06107520381229037,-0.021780687015988606,25.66995768688298,0.13413868510652094,0.15037216573206935,0.0067,0.0007,-0.0043,0.0084,-0.0016
2016-12-16,68505d6d34a7c6e6d373adb4,2016-12-16,510500,5.585,121683,80227663.0,0.67,2025-06-17 02:07:41.174,5.545,5.76295,5.74095,-0.0637262186210732,-0.030169793337005524,27.709190672153625,0.13918275566206154,-0.24149129806014058,0.0007,-0.0043,0.0084,-0.0016,-0.0073
2016-12-19,68505d6d34a7c6e6d373adb5,2016-12-19,510500,5.589,215357,142236316.0,0.07,2025-06-17 02:07:41.174,5.5566,5.749499999999999,5.740449999999999,-0.06475791149267174,-0.03708741696813877,29.512893982808066,0.1424727120687019,0.7698199419803917,-0.0043,0.0084,-0.0016,-0.0073,0.0004
2016-12-20,68505d6d34a7c6e6d373adb6,2016-12-20,510500,5.565,77951,51281979.0,-0.43,2025-06-17 02:07:41.174,5.56,5.732100000000001,5.739733333333334,-0.06674276589073003,-0.04301848675265702,30.07299270072997,0.14270392610687435,-0.6380382341878834,0.0084,-0.0016,-0.0073,0.0004,0.002
2016-12-21,68505d6d34a7c6e6d373adb7,2016-12-21,510500,5.612,125835,83240079.0,0.84,2025-06-17 02:07:41.174,5.5798000000000005,5.71895,5.739533333333333,-0.06378796217535498,-0.04717238183719662,31.27690100430415,0.14094958971953606,0.6142833318366667,-0.0016,-0.0073,0.0004,0.002,-0.0048
2016-12-22,68505d6d34a7c6e6d373adb8,2016-12-22,510500,5.603,85705,56662959.0,-0.16,2025-06-17 02:07:41.174,5.5908,5.7059,5.738650000000001,-0.061463965393504516,-0.0500306985484582,35.73770491803276,0.1388804483985004,-0.3189096833154528,-0.0073,0.0004,0.002,-0.0048,-0.0005
2016-12-23,68505d6d34a7c6e6d373adb9,2016-12-23,510500,5.562,76527,50438335.0,-0.73,2025-06-17 02:07:41.174,5.5862,5.68935,5.7372499999999995,-0.062213381414636615,-0.05246723512169389,35.62091503267973,0.13508097961086693,-0.1070882678956887,0.0004,0.002,-0.0048,-0.0005,-0.0004
2016-12-26,68505d6d34a7c6e6d373adba,2016-12-26,510500,5.564,195442,127638734.0,0.04,2025-06-17 02:07:41.174,5.5812,5.6720500000000005,5.73775,-0.06193200215581207,-0.05436018852851753,34.983498349834946,0.12726494328554624,1.5538960105583652,0.002,-0.0048,-0.0005,-0.0004,0.009
2016-12-27,68505d6d34a7c6e6d373adbb,2016-12-27,510500,5.575,158096,104096964.0,0.2,2025-06-17 02:07:41.174,5.583200000000001,5.65705,5.737883333333333,-0.060128277640711936,-0.055513806350956416,27.970749542961656,0.11952998963043557,-0.1910848231188793,-0.0048,-0.0005,-0.0004,0.009,0.0127
2016-12-28,68505d6d34a7c6e6d373adbc,2016-12-28,510500,5.548,103677,68123543.0,-0.48,2025-06-17 02:07:41.174,5.5704,5.64255,5.737683333333333,-0.06018372677969985,-0.05644779043670511,28.0733944954129,0.1138801193314555,-0.3442149073980366,-0.0005,-0.0004,0.009,0.0127,-0.0005
2016-12-29,68505d6d34a7c6e6d373adbd,2016-12-29,510500,5.545,69762,45776637.0,-0.05,2025-06-17 02:07:41.174,5.558800000000001,5.626150000000001,5.736933333333334,-0.05978063164039149,-0.057114358677442384,28.759398496240635,0.10193768736469393,-0.3271217338464655,-0.0004,0.009,0.0127,-0.0005,-0.0048
2016-12-30,68505d6d34a7c6e6d373adbe,2016-12-30,510500,5.543,86025,56446495.0,-0.04,2025-06-17 02:07:41.174,5.555000000000001,5.61445,5.73575,-0.05894309976041612,-0.05748010689403713,52.04081632653069,0.09702277269307122,0.23312118345230926,0.009,0.0127,-0.0005,-0.0048,0.008
2017-01-03,68505d6d34a7c6e6d373adbf,2017-01-03,510500,5.593,66442,43877899.0,0.9,2025-06-17 02:07:41.174,5.5608,5.607200000000001,5.733549999999999,-0.05362659358937627,-0.056709404233104964,56.88073394495411,0.09262237992600121,-0.22764312699796574,0.0127,-0.0005,-0.0048,0.008,-0.0039
2017-01-04,68505d6d34a7c6e6d373adc0,2017-01-04,510500,5.664,162321,108176826.0,1.27,2025-06-17 02:07:41.174,5.5786,5.6030999999999995,5.732233333333334,-0.04318629281617614,-0.05400478194971921,70.79889807162535,0.08784669660984244,1.4430480720026488,-0.0005,-0.0048,0.008,-0.0039,-0.0083
